question,answer
"What is Islam?","Islam is a monotheistic religion that teaches belief in one God (Allah) and follows the Quran and the teachings of the Prophet Muhammad (PBUH)."
"What are the five pillars of Islam?","The five pillars of Islam are Shahada (faith), Salat (prayer), Zakat (charity), Sawm (fasting during Ramadan), and Hajj (pilgrimage to Mecca)."
"What is the Quran?","The Quran is the holy book of Islam, believed to be the literal word of God revealed to Prophet Muhammad."
"What is Salat?","Salat is the ritual prayer performed five times a day by Muslims as an act of worship and obedience to Allah."
"What is Zakat?","Zakat is the compulsory charitable giving in Islam, usually 2.5% of savings, given to help the poor and needy."
"What is Ramadan?","Ramadan is the month of fasting for Muslims, during which they abstain from food, drink, and bad behavior from dawn until sunset."
"What is Hajj?","Hajj is the pilgrimage to Mecca that every Muslim who is able must perform at least once in their lifetime."
"What is Christianity?","Christianity is a faith based on the life and teachings of Jesus Christ, with the Bible as its sacred scripture."
"What is the Bible?","The Bible is the holy scripture of Christianity, containing the Old and New Testaments."
"Who is Jesus?","Jesus is the central figure of Christianity, believed by Christians to be the Son of God and the Savior."
"What is Hinduism?","Hinduism is a diverse religion from India that believes in many gods, dharma, karma, and the pursuit of spiritual liberation."
"What are the Vedas?","The Vedas are the oldest Hindu scriptures containing hymns, rituals, and spiritual knowledge."
"What is Dharma?","Dharma is the moral and religious duty that guides a person's life in Hinduism and other Indian faiths."
"What is Buddhism?","Buddhism is a religion founded by Gautama Buddha that focuses on ending suffering through the Four Noble Truths and the Eightfold Path."
"What is Nirvana?","Nirvana is the state of liberation from suffering and the cycle of rebirth in Buddhism."
"What is meditation?","Meditation is a practice used in Buddhism and other religions to calm the mind and develop awareness."
"What is Judaism?","Judaism is the religion of the Jewish people, based on the covenant between God and the children of Israel and the teachings of the Torah."
"What is the Torah?","The Torah is the central sacred text of Judaism, containing the first five books of the Hebrew Bible."
"What is Sikhism?","Sikhism is a monotheistic religion founded by Guru Nanak that teaches devotion to one God, equality, and service."
"What is a gurdwara?","A gurdwara is a Sikh place of worship where the Guru Granth Sahib is kept and the community gathers for prayer and service."
"What is Shahada?","Shahada is the Islamic declaration of faith: There is no god but Allah and Muhammad is His messenger."
"What is a mosque?","A mosque is a place of worship for Muslims where they gather for prayers and community activities."
"Who was Prophet Muhammad?","Prophet Muhammad (PBUH) was the founder of Islam and the last prophet of Allah, born in Mecca around 570 CE."
"What is the Hadith?","Hadith are the recorded sayings and actions of Prophet Muhammad that guide Muslims in daily life alongside the Quran."
"What is Wudu?","Wudu is the Islamic ritual of washing parts of the body before performing prayers as an act of purification."
"What is Eid?","Eid refers to two major Islamic festivals: Eid ul-Fitr celebrated after Ramadan and Eid ul-Adha celebrating the willingness of Ibrahim to sacrifice his son."
"What is Jihad?","Jihad in Islam primarily means the inner struggle to live a righteous life and also refers to defending the faith when necessary."
"What is Sharia?","Sharia is Islamic law derived from the Quran and Hadith that guides Muslims in matters of worship ethics and daily conduct."
"What is Tawhid?","Tawhid is the Islamic concept of the oneness and uniqueness of Allah the most fundamental belief in Islam."
"What are angels in Islam?","Angels in Islam are spiritual beings created from light who serve Allah deliver revelations and record human deeds."
"What is the Trinity?","The Trinity is the Christian belief that God exists as three persons: the Father the Son Jesus and the Holy Spirit."
"What is baptism?","Baptism is a Christian sacrament of initiation using water to symbolize purification and entry into the Christian community."
"What is Easter?","Easter is the Christian celebration of the resurrection of Jesus Christ from the dead observed on a Sunday in spring."
"What is Christmas?","Christmas is the Christian holiday celebrated on December 25th commemorating the birth of Jesus Christ."
"What is the Church?","The Church refers to the community of Christian believers and also to the physical buildings where Christians worship."
"What is prayer in Christianity?","Prayer in Christianity is direct communication with God used for worship thanksgiving confession and making requests."
"What is the Holy Spirit?","The Holy Spirit is the third person of the Christian Trinity believed to dwell within believers and guide them in truth."
"What is sin in Christianity?","Sin in Christianity is any thought word or action that goes against Gods law separating humans from God."
"What is salvation in Christianity?","Salvation in Christianity is the deliverance from sin and its consequences made possible through faith in Jesus Christ."
"What is the cross?","The cross is the central symbol of Christianity representing the crucifixion and death of Jesus Christ for the sins of humanity."
"What is karma?","Karma is the concept that every action has consequences that affect the present and future lives of a person."
"What is moksha?","Moksha is the ultimate liberation from the cycle of birth and rebirth in Hinduism achieving union with the divine."
"What is yoga?","Yoga is a spiritual and physical practice in Hinduism that aims to unite the mind body and spirit."
"Who is Brahma?","Brahma is the Hindu god of creation one of the three main deities alongside Vishnu and Shiva."
"Who is Vishnu?","Vishnu is the Hindu god of preservation and protection known for his ten avatars including Rama and Krishna."
"Who is Shiva?","Shiva is the Hindu god of destruction and transformation one of the principal deities of Hinduism."
"What is the Bhagavad Gita?","The Bhagavad Gita is a sacred Hindu scripture presenting a conversation between Prince Arjuna and Lord Krishna about duty and devotion."
"What is reincarnation?","Reincarnation is the belief that after death the soul is reborn in a new body continuing the cycle of life."
"What is a mantra?","A mantra is a sacred word or phrase repeated during meditation and worship in Hinduism and Buddhism."
"What is a temple in Hinduism?","A temple in Hinduism is a sacred place of worship where deities are enshrined and rituals are performed."
"What are the Four Noble Truths?","The Four Noble Truths teach that life involves suffering suffering comes from desire suffering can end and the Eightfold Path leads to that end."
"What is the Eightfold Path?","The Eightfold Path is the Buddhist guide to ethical conduct: right view intention speech action livelihood effort mindfulness and concentration."
"Who was Gautama Buddha?","Gautama Buddha was a spiritual teacher born in Nepal around 500 BCE who founded Buddhism after attaining enlightenment."
"What is enlightenment in Buddhism?","Enlightenment in Buddhism is the state of complete wisdom and freedom from desire and ignorance as achieved by the Buddha."
"What is a monk in Buddhism?","A Buddhist monk is a person who has taken religious vows and dedicates their life to following the teachings of the Buddha."
"What is the sangha?","The sangha is the community of Buddhist monks nuns and lay followers who support each other in practicing the Dharma."
"What is the Tripitaka?","The Tripitaka is the traditional term for the Buddhist scriptures containing the teachings of the Buddha."
"What is compassion in Buddhism?","Compassion in Buddhism known as karuna is the wish for all living beings to be free from suffering."
"What is a Buddhist temple?","A Buddhist temple is a place of worship and meditation where Buddhists pay respect to the Buddha and practice the Dharma."
"What is mindfulness?","Mindfulness is the Buddhist practice of being fully present and aware in the current moment without judgment."
"What is the Talmud?","The Talmud is a central text of Rabbinic Judaism a compilation of Jewish law ethics and commentary on the Torah."
"What is Shabbat?","Shabbat is the Jewish day of rest observed from Friday evening to Saturday night following the biblical account of God resting on the seventh day."
"What is Passover?","Passover is a Jewish festival that commemorates the liberation of the Israelites from slavery in Egypt."
"Who was Moses?","Moses was a prophet in Judaism who led the Israelites out of Egypt and received the Ten Commandments from God."
"What is a synagogue?","A synagogue is a Jewish house of worship and community gathering for prayer and study of the Torah."
"What are the Ten Commandments?","The Ten Commandments are a set of biblical principles given by God to Moses that form the basis of Jewish and Christian ethics."
"What is Hanukkah?","Hanukkah is the Jewish Festival of Lights celebrated for eight nights to commemorate the rededication of the Temple in Jerusalem."
"What is Yom Kippur?","Yom Kippur is the Jewish Day of Atonement the holiest day of the year when Jews fast and pray for forgiveness."
"Who was Guru Nanak?","Guru Nanak was the founder of Sikhism born in 1469 who taught devotion to one God equality and honest living."
